AssetID;AssetPortalLink;AssetName;Description;ReadyDate;Theme;Sku;Campaign;Audience;SubAudience;Market;ToProductionStatus_ID;ToAssetType_ID;ToContentManager_ID
AID13237;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13237;AssetName 13237;AssetDescription 13237;2020-01-05;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;201;101
AID13238;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13238;AssetName 13238;AssetDescription 13238;2020-01-06;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;201;101
AID13239;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13239;AssetName 13239;AssetDescription 13239;2020-01-07;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;201;101
AID13240;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13240;AssetName 13240;AssetDescription 13240;2020-01-08;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;201;101
AID13241;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13241;AssetName 13241;AssetDescription 13241;2020-01-09;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;201;101
AID13242;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13242;AssetName 13242;AssetDescription 13242;2020-01-10;Duplo;60710;Next;Kids;Boys;Global;Confidential;201;101
AID13243;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13243;AssetName 13243;AssetDescription 13243;2020-01-11;Duplo;60710;Next;Kids;Boys;Global;Confidential;201;101
AID13244;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13244;AssetName 13244;AssetDescription 13244;2020-01-12;Single;60710;Next;Kids;Girls;Global;Confidential;201;101
AID13245;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13245;AssetName 13245;AssetDescription 13245;2020-01-13;Duplo;60710;Next;Kids;Boys;Global;Confidential;201;101
AID13246;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13246;AssetName 13246;AssetDescription 13246;2020-01-14;Single;60710;Next;Kids;Girls;Global;Confidential;201;101
AID13247;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13247;AssetName 13247;AssetDescription 13247;2020-01-15;Duplo;60710;Next;Kids;Boys;Global;Confidential;201;101
AID13248;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13248;AssetName 13248;AssetDescription 13248;2020-01-16;Single;60710;Next;Kids;Girls;Global;Confidential;201;101
AID13249;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13249;AssetName 13249;AssetDescription 13249;2020-01-17;Duplo;60710;Next;Kids;Boys;Global;Confidential;201;101
AID13250;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13250;AssetName 13250;AssetDescription 13250;2020-01-18;Duplo;60710;Campaign;Kids;Boys;Global;Confidential;202;101
AID13251;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13251;AssetName 13251;AssetDescription 13251;2020-01-19;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;202;101
AID13252;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13252;AssetName 13252;AssetDescription 13252;2020-01-20;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;202;101
AID13253;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13253;AssetName 13253;AssetDescription 13253;2020-01-21;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;202;101
AID13254;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13254;AssetName 13254;AssetDescription 13254;2020-01-22;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;202;101
AID13255;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13255;AssetName 13255;AssetDescription 13255;2020-01-23;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;202;101
AID13256;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13256;AssetName 13256;AssetDescription 13256;2020-01-24;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;202;101
AID13257;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13257;AssetName 13257;AssetDescription 13257;2020-01-25;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;202;101
AID13258;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13258;AssetName 13258;AssetDescription 13258;2020-01-26;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;202;101
AID13259;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13259;AssetName 13259;AssetDescription 13259;2020-01-27;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;202;101
AID13260;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13260;AssetName 13260;AssetDescription 13260;2020-01-28;Single;60710;Previous Campaing;Kids;Girls;Global;Done;202;101
AID13261;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13261;AssetName 13261;AssetDescription 13261;2020-01-29;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;202;101
AID13262;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13262;AssetName 13262;AssetDescription 13262;2020-01-30;Single;60710;Previous Campaing;Kids;Girls;Global;Done;202;101
AID13263;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13263;AssetName 13263;AssetDescription 13263;2020-01-31;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;202;101
AID13264;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13264;AssetName 13264;AssetDescription 13264;2020-02-01;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;202;101
AID13265;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13265;AssetName 13265;AssetDescription 13265;2020-02-02;Single;60710;Previous Campaing;Kids;Girls;Global;Done;202;101
AID13266;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13266;AssetName 13266;AssetDescription 13266;2020-02-03;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;202;101
AID13267;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13267;AssetName 13267;AssetDescription 13267;2020-02-04;Single;60710;Next;Kids;Girls;Global;Done;202;101
AID13268;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13268;AssetName 13268;AssetDescription 13268;2020-02-05;Duplo;60710;Next;Kids;Boys;Global;Done;202;101
AID13269;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13269;AssetName 13269;AssetDescription 13269;2020-02-06;Single;60710;Next;Kids;Girls;Global;Done;202;101
AID13270;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13270;AssetName 13270;AssetDescription 13270;2020-02-07;Duplo;60710;Next;Kids;Boys;Global;Done;202;101
AID13271;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13271;AssetName 13271;AssetDescription 13271;2020-02-08;Duplo;60710;Next;Kids;Boys;Global;Done;202;101
AID13272;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13272;AssetName 13272;AssetDescription 13272;2020-02-09;Single;60710;Next;Kids;Girls;Global;Done;202;101
AID13273;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13273;AssetName 13273;AssetDescription 13273;2020-02-10;Duplo;60710;Next;Kids;Boys;Global;Done;202;101
AID13274;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13274;AssetName 13274;AssetDescription 13274;2020-02-11;Single;60710;Next;Kids;Girls;Global;Done;202;101
AID13275;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13275;AssetName 13275;AssetDescription 13275;2020-02-12;Duplo;60710;Campaign;Kids;Boys;Global;Done;202;101
AID13276;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13276;AssetName 13276;AssetDescription 13276;2020-02-13;Single;60710;Latest Campaign;Kids;Girls;Global;Done;202;101
AID13277;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13277;AssetName 13277;AssetDescription 13277;2020-02-14;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;202;101
AID13278;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13278;AssetName 13278;AssetDescription 13278;2020-02-15;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;202;101
AID13279;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13279;AssetName 13279;AssetDescription 13279;2020-02-16;Single;60710;Latest Campaign;Kids;Girls;Global;Ongoing;202;101
AID13280;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13280;AssetName 13280;AssetDescription 13280;2020-02-17;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;202;101
AID13281;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13281;AssetName 13281;AssetDescription 13281;2020-02-18;Single;60710;Latest Campaign;Kids;Girls;Global;Ongoing;202;101
AID13282;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13282;AssetName 13282;AssetDescription 13282;2020-02-19;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;202;101
AID13283;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13283;AssetName 13283;AssetDescription 13283;2020-02-20;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;202;101
AID13284;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13284;AssetName 13284;AssetDescription 13284;2020-02-21;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;202;101
AID13285;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13285;AssetName 13285;AssetDescription 13285;2020-02-22;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;202;101
AID13286;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13286;AssetName 13286;AssetDescription 13286;2020-02-23;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;202;101
AID13287;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13287;AssetName 13287;AssetDescription 13287;2020-02-24;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;202;101
AID13288;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13288;AssetName 13288;AssetDescription 13288;2020-02-25;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;202;101
AID13289;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13289;AssetName 13289;AssetDescription 13289;2020-02-26;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;202;101
AID13290;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13290;AssetName 13290;AssetDescription 13290;2020-02-27;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;202;101
AID13291;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13291;AssetName 13291;AssetDescription 13291;2020-02-28;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;202;101
AID13292;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13292;AssetName 13292;AssetDescription 13292;2020-03-01;Duplo;60710;Next;Kids;Boys;Global;Ongoing;202;101
AID13293;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13293;AssetName 13293;AssetDescription 13293;2020-03-02;Single;60710;Next;Kids;Girls;Global;Ongoing;202;101
AID13294;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13294;AssetName 13294;AssetDescription 13294;2020-03-03;Duplo;60710;Next;Kids;Boys;Global;Ongoing;202;101
AID13295;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13295;AssetName 13295;AssetDescription 13295;2020-03-04;Single;60710;Next;Kids;Girls;Global;Ongoing;202;101
AID13296;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13296;AssetName 13296;AssetDescription 13296;2020-03-05;Duplo;60710;Next;Kids;Boys;Global;Ongoing;202;101
AID13297;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13297;AssetName 13297;AssetDescription 13297;2020-03-06;Single;60710;Next;Kids;Girls;Global;Ongoing;202;101
AID13298;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13298;AssetName 13298;AssetDescription 13298;2020-03-07;Duplo;60710;Next;Kids;Boys;Global;Ongoing;202;101
AID13299;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13299;AssetName 13299;AssetDescription 13299;2020-03-08;Duplo;60710;Next;Kids;Boys;Global;Confidential;202;101
AID13300;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13300;AssetName 13300;AssetDescription 13300;2020-03-09;Single;60710;Campaign;Kids;Girls;Global;Confidential;203;102
AID13301;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13301;AssetName 13301;AssetDescription 13301;2020-03-10;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;203;102
AID13302;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13302;AssetName 13302;AssetDescription 13302;2020-03-11;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;203;102
AID13303;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13303;AssetName 13303;AssetDescription 13303;2020-03-12;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;203;102
AID13304;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13304;AssetName 13304;AssetDescription 13304;2020-03-13;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;203;102
AID13305;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13305;AssetName 13305;AssetDescription 13305;2020-03-14;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;203;102
AID13306;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13306;AssetName 13306;AssetDescription 13306;2020-03-15;Duplo;60710;Latest Campaign;Kids;Boys;Global;Confidential;203;102
AID13307;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13307;AssetName 13307;AssetDescription 13307;2020-03-16;Single;60710;Latest Campaign;Kids;Girls;Global;Confidential;203;102
AID13308;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13308;AssetName 13308;AssetDescription 13308;2020-03-17;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;203;102
AID13309;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13309;AssetName 13309;AssetDescription 13309;2020-03-18;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;203;102
AID13310;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13310;AssetName 13310;AssetDescription 13310;2020-03-19;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;203;102
AID13311;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13311;AssetName 13311;AssetDescription 13311;2020-03-20;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;203;102
AID13312;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13312;AssetName 13312;AssetDescription 13312;2020-03-21;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;203;102
AID13313;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13313;AssetName 13313;AssetDescription 13313;2020-03-22;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;203;102
AID13314;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13314;AssetName 13314;AssetDescription 13314;2020-03-23;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;203;102
AID13315;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13315;AssetName 13315;AssetDescription 13315;2020-03-24;Duplo;60710;Previous Campaing;Kids;Boys;Global;Confidential;203;102
AID13316;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13316;AssetName 13316;AssetDescription 13316;2020-03-25;Single;60710;Previous Campaing;Kids;Girls;Global;Confidential;203;102
AID13317;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13317;AssetName 13317;AssetDescription 13317;2020-03-26;Duplo;60710;Next;Kids;Boys;Global;Confidential;203;102
AID13318;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13318;AssetName 13318;AssetDescription 13318;2020-03-27;Single;60710;Next;Kids;Girls;Global;Confidential;203;102
AID13319;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13319;AssetName 13319;AssetDescription 13319;2020-03-28;Duplo;60710;Next;Kids;Boys;Global;Done;203;102
AID13320;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13320;AssetName 13320;AssetDescription 13320;2020-03-29;Duplo;60710;Next;Kids;Boys;Global;Done;203;102
AID13321;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13321;AssetName 13321;AssetDescription 13321;2020-03-30;Single;60710;Next;Kids;Girls;Global;Done;203;102
AID13322;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13322;AssetName 13322;AssetDescription 13322;2020-03-31;Duplo;60710;Next;Kids;Boys;Global;Done;203;102
AID13323;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13323;AssetName 13323;AssetDescription 13323;2020-04-01;Single;60710;Next;Kids;Girls;Global;Done;203;102
AID13324;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13324;AssetName 13324;AssetDescription 13324;2020-04-02;Duplo;60710;Next;Kids;Boys;Global;Done;203;102
AID13325;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13325;AssetName 13325;AssetDescription 13325;2020-04-03;Single;60710;Campaign;Kids;Girls;Global;Done;203;102
AID13326;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13326;AssetName 13326;AssetDescription 13326;2020-04-04;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;203;102
AID13327;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13327;AssetName 13327;AssetDescription 13327;2020-04-05;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;203;102
AID13328;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13328;AssetName 13328;AssetDescription 13328;2020-04-06;Single;60710;Latest Campaign;Kids;Girls;Global;Done;203;102
AID13329;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13329;AssetName 13329;AssetDescription 13329;2020-04-07;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;203;102
AID13330;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13330;AssetName 13330;AssetDescription 13330;2020-04-08;Single;60710;Latest Campaign;Kids;Girls;Global;Done;203;102
AID13331;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13331;AssetName 13331;AssetDescription 13331;2020-04-09;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;203;102
AID13332;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13332;AssetName 13332;AssetDescription 13332;2020-04-10;Single;60710;Latest Campaign;Kids;Girls;Global;Done;203;102
AID13333;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13333;AssetName 13333;AssetDescription 13333;2020-04-11;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;203;102
AID13334;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13334;AssetName 13334;AssetDescription 13334;2020-04-12;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;203;102
AID13335;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13335;AssetName 13335;AssetDescription 13335;2020-04-13;Single;60710;Previous Campaing;Kids;Girls;Global;Done;203;102
AID13336;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13336;AssetName 13336;AssetDescription 13336;2020-04-14;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;203;102
AID13337;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13337;AssetName 13337;AssetDescription 13337;2020-04-15;Single;60710;Previous Campaing;Kids;Girls;Global;Done;203;102
AID13338;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13338;AssetName 13338;AssetDescription 13338;2020-04-16;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;203;102
AID13339;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13339;AssetName 13339;AssetDescription 13339;2020-04-17;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;203;102
AID13340;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13340;AssetName 13340;AssetDescription 13340;2020-04-18;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;203;102
AID13341;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13341;AssetName 13341;AssetDescription 13341;2020-04-19;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;203;102
AID13342;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13342;AssetName 13342;AssetDescription 13342;2020-04-20;Single;60710;Next;Kids;Girls;Global;Ongoing;203;102
AID13343;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13343;AssetName 13343;AssetDescription 13343;2020-04-21;Duplo;60710;Next;Kids;Boys;Global;Ongoing;203;102
AID13344;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13344;AssetName 13344;AssetDescription 13344;2020-04-22;Single;60710;Next;Kids;Girls;Global;Ongoing;203;102
AID13345;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13345;AssetName 13345;AssetDescription 13345;2020-04-23;Duplo;60710;Next;Kids;Boys;Global;Ongoing;203;102
